Date,Open,High,Low,Close,Adj Close,Volume
5/5/2022,1897,1904.300049,1874,1874,1874,80
4/5/2022,1867,1867,1867,1867,1867,1
3/5/2022,1868.800049,1868.800049,1868.800049,1868.800049,1868.800049,466
2/5/2022,1896.699951,1896.800049,1853,1861.800049,1861.800049,385
29/04/2022,1902.699951,1918.199951,1902.400024,1909.300049,1909.300049,132
28/04/2022,1883.800049,1893,1872.900024,1888.699951,1888.699951,513
27/04/2022,1897.800049,1900.599976,1882.199951,1885.900024,1885.900024,1786
26/04/2022,1900.5,1909.099976,1894,1901.400024,1901.400024,302
25/04/2022,1925,1925,1889.300049,1893.199951,1893.199951,748
22/04/2022,1949.599976,1950.400024,1930.199951,1931,1931,178
21/04/2022,1942.5,1944.900024,1942.5,1944.900024,1944.900024,4
20/04/2022,1945.5,1953.599976,1945.5,1952.300049,1952.300049,621
19/04/2022,1973.800049,1978.300049,1945.699951,1955.699951,1955.699951,130
18/04/2022,1973.400024,1997.099976,1972.800049,1982.900024,1982.900024,196
14/04/2022,1977.199951,1978.699951,1963,1970.900024,1970.900024,101
13/04/2022,1969.5,1981,1969.5,1981,1981,204
12/4/2022,1952.5,1977.099976,1950.599976,1972.099976,1972.099976,246
11/4/2022,1946.599976,1968.400024,1941.800049,1944.300049,1944.300049,163
8/4/2022,1928.800049,1947.699951,1928.800049,1941.599976,1941.599976,153
7/4/2022,1919.5,1934.800049,1919.5,1933.800049,1933.800049,311
6/4/2022,1916.699951,1931.800049,1916.699951,1918.400024,1918.400024,138
5/4/2022,1927.099976,1943.5,1918.400024,1922.900024,1922.900024,412
4/4/2022,1921.199951,1936.099976,1915.599976,1929.199951,1929.199951,371
1/4/2022,1935,1938,1917,1919.099976,1919.099976,1016
31/03/2022,1933.5,1949.900024,1919.099976,1949.199951,1949.199951,3617
30/03/2022,1918.400024,1937,1914.5,1933.5,1933.5,17765
29/03/2022,1893.5,1912,1893.5,1912,1912,128051
28/03/2022,1932.599976,1939.599976,1932.599976,1939.599976,1939.599976,7
25/03/2022,1953.800049,1953.800049,1953.800049,1953.800049,1953.800049,83
24/03/2022,1963.599976,1964,1961.599976,1961.599976,1961.599976,8
23/03/2022,1936.599976,1936.599976,1936.599976,1936.599976,1936.599976,204
22/03/2022,1920.699951,1920.699951,1920.699951,1920.699951,1920.699951,26
21/03/2022,1925.400024,1928.599976,1925,1928.599976,1928.599976,5
18/03/2022,1934.5,1939.300049,1928.199951,1928.199951,1928.199951,28
17/03/2022,1933.900024,1947.199951,1933.900024,1942.099976,1942.099976,39
16/03/2022,1922.400024,1922.400024,1907.199951,1908,1908,104
15/03/2022,1939.800049,1939.900024,1910.699951,1928.5,1928.5,71
14/03/2022,1976.5,1977.699951,1959.599976,1959.599976,1959.599976,145
11/3/2022,1985,1996,1959.900024,1982.699951,1982.699951,865
10/3/2022,1978.099976,2010.5,1978.099976,1998.099976,1998.099976,670
9/3/2022,2053.600098,2063,1980.800049,1985.900024,1985.900024,1022
8/3/2022,1999.400024,2072,1998,2040.099976,2040.099976,1813
7/3/2022,1989,2001.099976,1963,1993.900024,1993.900024,2516
4/3/2022,1937,1970.900024,1935.599976,1965.099976,1965.099976,47
3/3/2022,1930.5,1940.300049,1924.800049,1934.400024,1934.400024,122
2/3/2022,1945.599976,1948.199951,1919.800049,1920.900024,1920.900024,109
1/3/2022,1908.300049,1942.400024,1903.800049,1942.400024,1942.400024,547
28/02/2022,1928.300049,1928.400024,1894.199951,1899.400024,1899.400024,390
25/02/2022,1906.900024,1920,1883.599976,1886.5,1886.5,586
24/02/2022,1911.900024,1972.5,1911.699951,1925.099976,1925.099976,2706
23/02/2022,1896.599976,1910.599976,1895.699951,1909.199951,1909.199951,73
22/02/2022,1908.099976,1912,1890.800049,1906.099976,1906.099976,173
18/02/2022,1899.400024,1899.400024,1890.699951,1898.599976,1898.599976,51
17/02/2022,1876.300049,1900.699951,1876.199951,1900.699951,1900.699951,393
16/02/2022,1858.699951,1870.199951,1856.300049,1870.199951,1870.199951,34
15/02/2022,1872.599976,1879.699951,1847.400024,1854.800049,1854.800049,86
14/02/2022,1861.800049,1870.599976,1854.599976,1868,1868,79
11/2/2022,1822,1864.800049,1822,1840.800049,1840.800049,181
10/2/2022,1833.300049,1842.099976,1820.800049,1836.199951,1836.199951,365
9/2/2022,1825.400024,1835.199951,1825.300049,1835.199951,1835.199951,683
8/2/2022,1818.900024,1827.599976,1815,1826.599976,1826.599976,108
7/2/2022,1812.199951,1821.300049,1809.099976,1820.599976,1820.599976,601
4/2/2022,1806,1813.699951,1792.5,1806.599976,1806.599976,571
3/2/2022,1805.800049,1808.099976,1787.900024,1803,1803,466
2/2/2022,1797.800049,1810.099976,1795.099976,1809.199951,1809.199951,1690
1/2/2022,1797.199951,1806.099976,1797.099976,1800.300049,1800.300049,223
31/01/2022,1788.5,1798.5,1785.099976,1795,1795,1735
28/01/2022,1797.5,1798.400024,1778.800049,1784.900024,1784.900024,28521
27/01/2022,1793.300049,1793.300049,1793.300049,1793.300049,1793.300049,196036
26/01/2022,1829.900024,1829.900024,1829.900024,1829.900024,1829.900024,55
25/01/2022,1843,1852.699951,1842,1852.699951,1852.699951,11
24/01/2022,1837.900024,1842.099976,1837.900024,1841.699951,1841.699951,8
21/01/2022,1838,1842.400024,1828.900024,1831.800049,1831.800049,19
20/01/2022,1840.599976,1843,1838.199951,1842.5,1842.5,20
19/01/2022,1817.400024,1843.099976,1817.400024,1843.099976,1843.099976,4
18/01/2022,1816.800049,1820.099976,1812.300049,1812.300049,1812.300049,900
14/01/2022,1821.5,1822,1816.5,1816.5,1816.5,816
13/01/2022,1819.800049,1823,1815.400024,1821.199951,1821.199951,40
12/1/2022,1819,1827.199951,1816.900024,1827.199951,1827.199951,1547
11/1/2022,1803.900024,1822.5,1803,1818.599976,1818.599976,743
10/1/2022,1794.900024,1798.699951,1790.400024,1798.400024,1798.400024,534
7/1/2022,1791.800049,1797,1784.400024,1797,1797,17
6/1/2022,1787.099976,1791.300049,1787.099976,1788.699951,1788.699951,30
5/1/2022,1813.099976,1824.599976,1813.099976,1824.599976,1824.599976,8
4/1/2022,1800.5,1815.300049,1800,1814,1814,38
3/1/2022,1830.099976,1830.099976,1798.800049,1799.400024,1799.400024,116
31/12/2021,1825.099976,1827.800049,1821.400024,1827.5,1827.5,80
